"","Date.Depth","X0.3","X0.5","X0.7","X0.9","X1.1","X1.4","X1.7","X2","X2.5","X3","X4","X5","X7","X9","X10"
"1",2010-04-13,-8.84,-8.57,-8.52,-8.47,-8.51,-8.4,-8.3,-8.15,-8.02,-7.75,-7.24,-6.59,-5.48,-4.5,-4.25
"2",2010-04-14,-8.16,-8.25,-8.38,-8.42,-8.48,-8.37,-8.25,-8.11,-7.99,-7.71,-7.22,-6.59,-5.5,-4.52,-4.26
"3",2010-04-15,-7.44,-7.88,-8.16,-8.28,-8.39,-8.31,-8.21,-8.05,-7.96,-7.69,-7.21,-6.59,-5.51,-4.53,-4.27
"4",2010-04-16,-6.54,-7.08,-7.58,-7.92,-8.19,-8.21,-8.17,-8.02,-7.93,-7.68,-7.21,-6.59,-5.53,-4.55,-4.29
"5",2010-04-17,-6.67,-7.07,-7.47,-7.76,-8.02,-8.09,-8.1,-8,-7.92,-7.68,-7.21,-6.61,-5.56,-4.59,-4.33
"6",2010-04-18,-6.41,-6.92,-7.34,-7.62,-7.88,-7.97,-8.01,-7.94,-7.89,-7.65,-7.2,-6.6,-5.57,-4.6,-4.34
"7",2010-04-19,-5.56,-6.36,-6.96,-7.37,-7.7,-7.85,-7.91,-7.87,-7.83,-7.61,-7.18,-6.6,-5.58,-4.62,-4.35
"8",2010-04-20,-5.73,-6.22,-6.72,-7.12,-7.49,-7.68,-7.8,-7.79,-7.78,-7.58,-7.17,-6.59,-5.59,-4.64,-4.37
"9",2010-04-21,-5.43,-6.09,-6.63,-7.02,-7.36,-7.55,-7.69,-7.71,-7.74,-7.54,-7.15,-6.58,-5.6,-4.64,-4.37
"10",2010-04-22,-5.03,-5.81,-6.4,-6.83,-7.2,-7.42,-7.59,-7.63,-7.67,-7.5,-7.13,-6.57,-5.61,-4.66,-4.38
"11",2010-04-23,-5.21,-5.7,-6.19,-6.61,-7.01,-7.28,-7.48,-7.54,-7.61,-7.47,-7.11,-6.57,-5.62,-4.67,-4.4
"12",2010-04-24,-3.84,-5.13,-5.96,-6.49,-6.9,-7.16,-7.36,-7.46,-7.55,-7.41,-7.08,-6.57,-5.63,-4.68,-4.41
"13",2010-04-25,-2.35,-3.93,-5.05,-5.87,-6.5,-6.94,-7.23,-7.36,-7.49,-7.37,-7.06,-6.55,-5.63,-4.69,-4.42
"14",2010-04-26,-2.05,-3.22,-4.29,-5.2,-5.97,-6.58,-7.01,-7.23,-7.41,-7.31,-7.03,-6.54,-5.63,-4.71,-4.44
"15",2010-04-27,-2.69,-3.44,-4.21,-4.93,-5.61,-6.23,-6.75,-7.06,-7.31,-7.25,-7.01,-6.52,-5.63,-4.71,-4.44
"16",2010-04-28,-2.25,-3.27,-4.09,-4.77,-5.41,-5.99,-6.51,-6.88,-7.19,-7.18,-6.97,-6.51,-5.64,-4.72,-4.45
"17",2010-04-29,-1.12,-2.52,-3.58,-4.41,-5.12,-5.75,-6.3,-6.71,-7.07,-7.09,-6.94,-6.51,-5.64,-4.74,-4.46
"18",2010-04-30,-0.49,-1.85,-2.95,-3.88,-4.69,-5.44,-6.08,-6.53,-6.93,-7,-6.9,-6.49,-5.64,-4.75,-4.48
"19",2010-05-01,-1.29,-1.87,-2.67,-3.48,-4.29,-5.09,-5.8,-6.32,-6.79,-6.89,-6.84,-6.46,-5.65,-4.75,-4.47
"20",2010-05-02,-2.01,-2.36,-2.89,-3.47,-4.12,-4.83,-5.55,-6.11,-6.64,-6.78,-6.8,-6.43,-5.65,-4.78,-4.49
"21",2010-05-03,-2.66,-2.81,-3.17,-3.59,-4.11,-4.7,-5.36,-5.92,-6.48,-6.67,-6.74,-6.41,-5.66,-4.78,-4.5
"22",2010-05-04,-3.73,-3.49,-3.57,-3.81,-4.21,-4.66,-5.24,-5.76,-6.33,-6.55,-6.68,-6.38,-5.66,-4.77,-4.5
"23",2010-05-05,-4.55,-4.18,-4.11,-4.18,-4.42,-4.72,-5.18,-5.64,-6.2,-6.43,-6.61,-6.36,-5.66,-4.79,-4.51
"24",2010-05-06,-4.81,-4.66,-4.6,-4.57,-4.69,-4.85,-5.2,-5.58,-6.08,-6.32,-6.54,-6.31,-5.65,-4.8,-4.53
"25",2010-05-07,-4.2,-4.3,-4.46,-4.6,-4.81,-4.96,-5.24,-5.54,-6,-6.22,-6.47,-6.28,-5.65,-4.81,-4.54
"26",2010-05-08,-3.39,-3.85,-4.23,-4.5,-4.79,-4.99,-5.25,-5.53,-5.94,-6.14,-6.41,-6.24,-5.64,-4.81,-4.54
"27",2010-05-09,-3.1,-3.45,-3.87,-4.24,-4.62,-4.91,-5.22,-5.5,-5.88,-6.07,-6.34,-6.2,-5.64,-4.83,-4.56
"28",2010-05-10,-2.92,-3.4,-3.81,-4.15,-4.51,-4.81,-5.15,-5.45,-5.83,-6.01,-6.27,-6.16,-5.63,-4.84,-4.57
"29",2010-05-11,-2.67,-3.07,-3.53,-3.95,-4.37,-4.72,-5.08,-5.38,-5.77,-5.95,-6.21,-6.12,-5.63,-4.84,-4.57
"30",2010-05-12,-3.15,-3.38,-3.67,-3.94,-4.3,-4.62,-5,-5.31,-5.71,-5.89,-6.16,-6.07,-5.63,-4.85,-4.58
"31",2010-05-13,-2.83,-3.21,-3.58,-3.9,-4.26,-4.57,-4.93,-5.24,-5.65,-5.83,-6.1,-6.03,-5.62,-4.85,-4.58
"32",2010-05-14,-2.83,-3.14,-3.49,-3.82,-4.19,-4.51,-4.87,-5.18,-5.59,-5.78,-6.06,-5.99,-5.61,-4.85,-4.59
"33",2010-05-15,-3.43,-3.46,-3.63,-3.85,-4.16,-4.45,-4.8,-5.11,-5.53,-5.71,-6,-5.96,-5.6,-4.87,-4.61
"34",2010-05-16,-3.67,-3.68,-3.82,-3.97,-4.21,-4.44,-4.75,-5.06,-5.46,-5.65,-5.95,-5.92,-5.59,-4.87,-4.61
"35",2010-05-17,-3.93,-3.9,-3.98,-4.08,-4.28,-4.45,-4.74,-5,-5.4,-5.6,-5.9,-5.88,-5.58,-4.87,-4.62
"36",2010-05-18,-3.78,-3.86,-4,-4.13,-4.34,-4.48,-4.73,-4.98,-5.36,-5.54,-5.85,-5.85,-5.57,-4.88,-4.63
"37",2010-05-19,-3.51,-3.65,-3.88,-4.08,-4.32,-4.49,-4.72,-4.96,-5.31,-5.49,-5.81,-5.81,-5.56,-4.88,-4.63
"38",2010-05-20,-3.09,-3.46,-3.77,-4.01,-4.29,-4.46,-4.69,-4.93,-5.27,-5.44,-5.75,-5.76,-5.54,-4.88,-4.64
"39",2010-05-21,-2.16,-2.86,-3.4,-3.79,-4.15,-4.4,-4.66,-4.9,-5.23,-5.41,-5.71,-5.72,-5.53,-4.88,-4.65
"40",2010-05-22,-1.25,-2.14,-2.85,-3.39,-3.88,-4.25,-4.59,-4.86,-5.2,-5.37,-5.68,-5.69,-5.51,-4.89,-4.65
"41",2010-05-23,-0.22,-1.34,-2.2,-2.88,-3.5,-4,-4.45,-4.78,-5.16,-5.31,-5.63,-5.65,-5.5,-4.9,-4.65
"42",2010-05-24,1.26,-0.36,-1.46,-2.3,-3.04,-3.67,-4.23,-4.66,-5.09,-5.27,-5.58,-5.62,-5.49,-4.9,-4.65
"43",2010-05-25,2.24,0.52,-0.73,-1.7,-2.53,-3.29,-3.97,-4.49,-5.01,-5.22,-5.55,-5.59,-5.48,-4.91,-4.66
"44",2010-05-26,1.62,0.62,-0.33,-1.21,-2.09,-2.93,-3.71,-4.31,-4.9,-5.15,-5.51,-5.55,-5.46,-4.9,-4.67
"45",2010-05-27,0.06,0.02,-0.49,-1.16,-1.91,-2.7,-3.48,-4.13,-4.78,-5.07,-5.46,-5.52,-5.44,-4.91,-4.68
"46",2010-05-28,0.2,-0.37,-0.88,-1.37,-1.95,-2.59,-3.33,-3.97,-4.65,-4.98,-5.41,-5.48,-5.43,-4.9,-4.68
"47",2010-05-29,0.87,-0.04,-0.74,-1.33,-1.94,-2.55,-3.24,-3.85,-4.54,-4.89,-5.37,-5.45,-5.41,-4.9,-4.68
"48",2010-05-30,-0.34,-0.3,-0.74,-1.27,-1.85,-2.47,-3.15,-3.75,-4.44,-4.8,-5.3,-5.42,-5.39,-4.91,-4.68
"49",2010-05-31,-1.11,-1.02,-1.19,-1.48,-1.92,-2.44,-3.07,-3.65,-4.33,-4.71,-5.24,-5.38,-5.38,-4.91,-4.67
"50",2010-06-01,-1.69,-1.62,-1.68,-1.82,-2.13,-2.49,-3.03,-3.58,-4.25,-4.63,-5.19,-5.34,-5.37,-4.9,-4.69
"51",2010-06-02,-1.15,-1.31,-1.6,-1.87,-2.23,-2.58,-3.06,-3.53,-4.17,-4.55,-5.13,-5.3,-5.35,-4.91,-4.68
"52",2010-06-03,-1.23,-1.36,-1.6,-1.85,-2.21,-2.58,-3.03,-3.51,-4.11,-4.48,-5.07,-5.25,-5.33,-4.89,-4.68
"53",2010-06-04,-0.38,-1,-1.49,-1.85,-2.23,-2.58,-3.03,-3.47,-4.06,-4.42,-5,-5.21,-5.31,-4.89,-4.68
"54",2010-06-05,1.17,-0.18,-0.97,-1.53,-2.06,-2.51,-3,-3.44,-4.01,-4.36,-4.95,-5.18,-5.3,-4.89,-4.69
"55",2010-06-06,2.35,0.67,-0.37,-1.05,-1.71,-2.3,-2.89,-3.38,-3.96,-4.3,-4.9,-5.14,-5.28,-4.88,-4.7
"56",2010-06-07,2.69,1.17,0.05,-0.56,-1.26,-1.88,-2.44,-3.15,-3.87,-4.24,-4.84,-5.08,-5.26,-4.88,-4.7
"57",2010-06-08,2.88,1.49,0.32,-0.22,-0.66,-1.14,-1.7,-2.67,-3.73,-4.16,-4.8,-5.04,-5.24,-4.88,-4.71
"58",2010-06-09,0.92,0.88,0.33,-0.12,-0.46,-1.04,-1.66,-2.47,-3.58,-4.06,-4.74,-5,-5.22,-4.88,-4.71
"59",2010-06-10,-0.2,-0.06,-0.08,-0.2,-0.46,-1.02,-1.77,-2.57,-3.43,-3.94,-4.67,-4.97,-5.2,-4.88,-4.71
"60",2010-06-11,0.38,0.08,-0.1,-0.3,-0.76,-1.25,-1.84,-2.49,-3.3,-3.82,-4.6,-4.91,-5.19,-4.88,-4.71
"61",2010-06-12,1,0.38,-0.06,-0.41,-0.86,-1.3,-1.84,-2.43,-3.21,-3.72,-4.52,-4.87,-5.16,-4.87,-4.71
"62",2010-06-13,1.61,0.71,0.08,-0.37,-0.84,-1.29,-1.82,-2.4,-3.13,-3.63,-4.45,-4.81,-5.14,-4.86,-4.71
"63",2010-06-14,1.85,0.92,0.37,-0.23,-0.74,-1.23,-1.77,-2.34,-3.07,-3.56,-4.38,-4.76,-5.12,-4.85,-4.71
"64",2010-06-15,0.22,0.35,0.19,-0.19,-0.66,-1.16,-1.7,-2.27,-3,-3.49,-4.31,-4.71,-5.1,-4.85,-4.71
"65",2010-06-16,-0.18,-0.08,-0.12,-0.33,-0.73,-1.15,-1.68,-2.22,-2.94,-3.42,-4.25,-4.67,-5.08,-4.85,-4.71
"66",2010-06-17,-0.4,-0.15,-0.14,-0.42,-0.81,-1.19,-1.68,-2.19,-2.88,-3.36,-4.18,-4.61,-5.05,-4.85,-4.71
"67",2010-06-18,0.85,0.14,-0.15,-0.51,-0.88,-1.23,-1.68,-2.17,-2.84,-3.3,-4.13,-4.56,-5.03,-4.85,-4.7
"68",2010-06-19,0.06,0.08,-0.15,-0.5,-0.88,-1.24,-1.68,-2.16,-2.81,-3.25,-4.07,-4.51,-5.01,-4.85,-4.71
"69",2010-06-20,-0.23,-0.12,-0.24,-0.55,-0.9,-1.24,-1.68,-2.14,-2.77,-3.2,-4.02,-4.46,-4.99,-4.83,-4.7
"70",2010-06-21,0.46,0.02,-0.3,-0.61,-0.95,-1.27,-1.68,-2.13,-2.74,-3.17,-3.96,-4.41,-4.96,-4.82,-4.69
